Index,Name (EN),Name (JP)
1,ASL,ＡＳＬ
2,BMW,ＢＭＷ
3,DMC,ＤＭＣ
4,MG,ＭＧ
5,TVR,ＴＶＲ
6,Audi,アウディ
7,ASTON MARTIN,アストン マーティン
8,ALFA ROMEO,アルファ ロメオ
9,Austin-Healey,オースチン・ヒーレー
10,OPEL,オペル
11,CADILLAC,キャデラック
12,CHRYSLER,クライスラー
13,CATERHAM,ケイターハム
14,SAAB,サーブ
15,SHELBY,シェルビー
16,CITROEN,シトロエン
17,CHEVROLET,シボレー
18,JAGUAR,ジャガー
19,SUZUKI,スズキ
20,SUBARU,スバル
21,smart,スマート
22,DAIHATSU,ダイハツ
23,Dodge,ダッジ
24,DE TOMASO,デ・トマソ
25,Tommy kaira,トミーカイラ
26,TOYOTA,トヨタ
27,NISSAN,ニッサン
28,HYUNDAI,ヒュンダイ
29,FIAT,フィアット
30,Ford,フォード
31,VOLKSWAGEN,フォルクスワーゲン
32,PEUGEOT,プジョー
33,VOLVO,ボルボ
34,HONDA,ホンダ
35,PONTIAC,ポンティアック
36,MAZDA,マツダ
37,MITSUBISHI,ミツビシ
38,MINI,ミニ
39,Mercedes-Benz,メルセデス・ベンツ
40,MORRIS,モーリス
41,LANCIA,ランチア
42,LAND ROVER,ランドローバー
43,RUF,ルーフ
44,RENAULT,ルノー
45,LOTUS,ロータス
46,DAUER,ダウアー